path,sha256,bytes,status,owner,source_inputs,license,tool_version
.gitignore,c893c2eb13333341a65d2959b2c1c34825b83375e8ff8c09b0cf18f12edba41d,2636,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/1P/C86BVFNUB7PEPM45YZJ8Z2.uasset,940a13f90716592934ed51e3e4cd57640f824b7940aa453e67e89384528fe5bc,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/1Q/NPEENFCGMR266AMIYVX9LB.uasset,ce71da71cbee89a4469fe5cf357c72b759ed07b91d9040b2af2d13427464c2d8,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/2M/FKN08ZUH76UBEF78SA7QDY.uasset,06ee9ac280b5920d77a103a0417fd44e7204b8b18730a261342f3f6af1da8ad8,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/2N/SEXSF1RNPRRK5GXD39U4JC.uasset,2acb9620d5d75a808f3f63ae8d8c6b77333cc9166b27d139cb8c0414d373b78f,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/3O/3A5S8Q9ZSMY43F07JMRH3K.uasset,916e64b964069e5c061633bde857cc0f82a96db44fcc3429db7894ef5ce60739,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/7U/CKA9VHD7TFA2S1TTURJKGF.uasset,e2b5075c4eabae7ea2ab55480b6c685ab73f1d3084710653fa636b3e94cca257,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/8G/L8NI8V14YXG9E95M3EA4GL.uasset,c45c86d76b36ccbd357302568473102d9a3666e22ea065457e12f5354525f492,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/8R/3UTDTO5SX1921D537MQ3BH.uasset,30eb7841755026faa17f020d312eaeec398eff79cd4778bd70f40beef71f020c,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/AO/NL2ZNAGUKZYGGMB16ZP674.uasset,1bafecf7eee2baca5e9537f7a1d5b4e5f7f49f1073f3c707ca6eaf0b0d7b60b6,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/CA/OYQFADYZZJYFI986J9MZYM.uasset,b0f708de360174f81f6c5dce6378b6237b730658bf88474e1b079a9587e28d10,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/CJ/LFPYRYMQ8F0S0PJ52333UY.uasset,6983f0262c853d5a119d55ca35b6ba8cf2fc0440b4082f960358ef2f2bf1f968,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/D9/FC82OVQOWLZOKPDJTRA5NU.uasset,58e4e1291bddba5e5dba7fe8493ee96bf5ab6d79c885b400dd6b3c2098f34a78,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/DT/YXL62SD88THHA69R1KGBRQ.uasset,02f651c665ded946d3f55a2f6ce867b768e5b9e3977515a456dd8bf0324dc585,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/ET/C6G5TUZZ8G8NSX5V5P3AB6.uasset,ff874b0c26c3b611deeb702082046e72bb8137d278a3db09d81fc31adc463291,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/F3/IYUMUPDB82OY28COJ97AXE.uasset,bd4dd22060d89b15b7720730c2676fd8b22c2fdf029845870bc9fe4d3ae5ce07,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/FI/NJJ43CYCQXCEWE2G022BMP.uasset,142516f5fec4249ddc4bbbb00e56b24c96564c6d63a5becf215cf1fce24d9109,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/HJ/5WNHSPCQZI06QJYB55WHTW.uasset,948e97074b7ffd654ca94db347ceb0184acbbcbbbb52d3e108b142a4b73f7e9b,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/IS/M7V2XIJ2EDZAVZS7WR3N8D.uasset,6c5a80f12aa14d5b2c6e103dbe2c355c0d3fc9d2ec11089fd57fe1063a412528,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/JS/JVAHZUZGPLHYAJJ7XXSE5F.uasset,c5395f6f319aac2135c68098a03f6c840381953882e2c898842c077ee2bedb6e,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/JV/8RQYNNI2LMT6RU1PJACBPP.uasset,ccfacf2c99188a8a233da6ba434127f9af07cb71d276c814b45f74a2c6c9be5c,1323307,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/KT/AG7RJ7R0VYLXA4ZXJKCJW5.uasset,849aff965ad8c81b7a44d6be1c3138ae4eea750d846f31102b5a72c645386c0e,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/M0/CCF7O1T3B5X77DATAWS3D8.uasset,12b90f119fe95619ae5ead9f8d129587b154d4f5dbcf2f5752ba0bcd32c83a4e,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/M4/XJ39W5HN6ICA8O3DF79SBW.uasset,fa3cd98a9a3d74f72e1e6a568350b473e0bc87708328916d9109d08ae6da9ca0,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/OD/QFKF87BCNQY8BN4W7GKXT4.uasset,6f2d8b6bda49dfe46b3108ef091de03dab03679bbacdbd1863b61c0eb31c02a5,1292475,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/QV/28LB4ALNIB162FGU3OFFLU.uasset,0644c11fbfd5f19d8aefdfc5d235e29db968be69d40062ccacf22f996a1637ab,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/S4/4JGKYV2LJYQQAWCRGS73T7.uasset,3f09a0c318c0f6541231bc42d52f191c0fe7131d9a0495e31199083331f08e86,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/TG/DZO6CHERWXFE8LF1XA84XD.uasset,c2f9b280afa867cb74e2e151699204b4735829fa6257c5c1eca3b4eacae50cce,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/TR/1CNA8OS1ME0326IT7J5FI4.uasset,f95ebf4668519c95f0a6dfd6a198a1e8116c28fcbd2bd9723345db8c1a7b50d6,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/UB/HQX0EODMQ9FAJEMP65ACII.uasset,5dcdc1d1e3f4837058838b4fc78aa35fdb1a04e7780cc85946129b9fc26a4923,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/V5/FLYSCI432L2W963IL1I6RO.uasset,798bc378c5b3e03cbfd7bf46328107e83e479b446131a361b35a1493ab526b03,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/X6/QUQHKT9X64C75745H40HEM.uasset,eb519ccdb5b0df7b8a8ae629474661d4bfe4bb7ee1625e8309685a43f44141f3,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/XZ/MG4Z3W51GNX78VZ7PKRGJO.uasset,682123bba14823e615f9df8286cd19a081d551de01abbbd285def5089a9ca03d,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/YJ/3D7B9EFRMOC6LIF58GHTM6.uasset,020c55cb4ca4b9484792f425832c0926e4e5b7e77d81b50fd8cc35b1c2361282,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/YZ/46I4RYFIPRM12TA5SR6OGO.uasset,c77382a412ee2ff6f086e484142a92a3e25bda83ec1fb233313b1e019ea27feb,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/Z7/KB94AC6HWF1S3VC4A95LK4.uasset,6a91d12bc2c8e20b81f42be7e9466456a4f433ff243ae5324771636c56fa26dd,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/0E/OP5Q37T53W3L2A4I4THXHR.uasset,f4435d3a9f000990c15ed1cef549402a5fe630d35e4ea1b42b9d55c18d4b882f,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/1G/COLMWDN22TS1LAUBONUEXA.uasset,cf199329a3c5c44f175feed35c807bbebebffeb67db2ca4d71fae4f96ce79fa9,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/4G/O813B3Z8Z2ZJOOSGC9SDX1.uasset,47721030c53df334da41bf73fe381b93354e88f3f9ce8fe63dad0003b22ad7b8,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/4U/15E7G1DMQ3OKOQ7QBUOMJ7.uasset,c90dd312faaa3638ebb1d33e2a2b214cbfd3fe8e8adb17a5c0c120c4a56935db,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/5B/RZZ7Z8XAFJL5SBHGSHPINR.uasset,e3a9f9fbc4c831129a8cc5913bd8cd8d716ed744f80c7e92cf1f8892ab970e6a,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/5P/ZV7H5B4YPNJBJ6EOU1AI6Z.uasset,1266b5a534378fe883ed277f5fabab2af668b568b82666a8829892d81f138c86,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/5T/8GQZWUYB8JQLGEUNGFHD48.uasset,39400e3806735a4b2a5c032ba214dffd98c26d44bfb63427f3671d313176c9ad,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/7C/ELMAPCMZWBL6HIA7QHTIMO.uasset,52a373a56920a0a5790319c0db492e7889b12323d4340ec4d3c92a758d543e0c,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/8H/G2ORRMK6FQPFV0N3UVPVXJ.uasset,f9431a8f4459bee8c731690fb696fe41d9fbf235538938cffcf8300575fa990a,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/8O/M8BCFNARZOSSU8RZ6DEKIL.uasset,6f2d7370689bcd1c765e258e7c2ae5341718ef3371c890894c0c2ea0524f8027,1294349,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/1/9L/3EH4ECZJ94WD5W3VP7OIWH.uasset,8b9384dbd0b68b59673b1c050fba2295ed57bf44267b3fb18b46982b6250f7d0,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
