artifact_id,owner,path,sha256,source_inputs,generator_tool_version,license_status,status,notes
TERRAIN-011,AuraProj terrain,QA/Map_Scale_Inspection.md,26e84c8eb676eda62a958f4e305bfd931d41e079608f047473bdcae538f7c490,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Verified source acquisition,Source status is separate from historical metric acceptance
TERRAIN-012,AuraProj terrain,QA/Canton_Map_ScaleBar_Crop.jpg,16d0f8d0f1958d0f6b24f58865d0ec23517079e1f704c5096a76dcb5beb984fd,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Verified source acquisition,Source status is separate from historical metric acceptance
TERRAIN-013,AuraProj terrain,QA/Control_Survey_Handoff.md,0c3373efd808996e575adb0cf88c54752b169584a1ac12f15df3b60efe985430,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-014,AuraProj terrain,QA/Canton_Days_01_05_Audit_Disposition.md,2eda20df940bdf06c762c4da77f19e71b3afa635a0e75affd758cd32e4b9a72e,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-015,AuraProj terrain,Data/Map_Control_Candidates.csv,4eed455cb9669d7d9d82b7136ed80e6ee47af7b0ca511a4877a3cdd5a134a712,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-016,AuraProj terrain,Data/Map_Transform_Provisional.json,7810a1541ba4c78ec5569d92c94dbfbdb4da29cffb70107b2bf2bbc224aa058c,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-017,AuraProj terrain,QA/Map_GCP_Residuals.csv,68c16dbb4210a674c945d2cdc47d650c446b0748bc89891d95c74a5edea3c43d,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-018,AuraProj terrain,Docs/Map_Distortion_Notes.md,18991a28723f283161d93d02b5c6772c0bfc4459d2120504752597284be36b78,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-019,AuraProj terrain,GIS/Provisional/Canton_Historic_Georef_PROVISIONAL.tif,76b6f08edb581147a170dea8bb01fd890c658554600dbc62bdc1f55e35eceec2,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-020,AuraProj terrain,Data/Map_Pixel_Traces_Provisional.json,87c9c32c9ae1ac5136c84bfa89806e8fe8dd3787f7334af296e2ed8f7b20ac4b,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-021,AuraProj terrain,Data/Extent_Provisional.json,dbdc8646c3f79a433f09de6910cbd9d60a4f3cf463ddc826b4f44341b3deab7d,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-022,AuraProj terrain,QA/Canton_Provisional_Trace_Overlay.jpg,3796ea21e4585379b45fa55fd4609b462f5c14322284320ce45dc5a9e804b779,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-023,AuraProj terrain,QA/Extent_Check.md,3cfd0b6c21e43da4b11c8a24797c832cbc96ae5190c5e21920fc843329549472,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-024,AuraProj terrain,GIS/README.md,4e550af58b5ac63ff81b9340866c81e8ca38edf18ded5f5cac69d7a71e83716b,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-025,AuraProj terrain,Sources/Elevation/README.md,c01979af56a6c6b203855eb477c72521f2faf4e6cf93bfadf8964f25b091f346,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-026,AuraProj terrain,Sources/Elevation/GEDTM30_Guangzhou_context_20250611.tif,beb5a01ca36a34f5fe80b08394980d0fe42a30196b1ed1f0360a5bf8e3a10fa9,ELEV-002,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,CC BY 4.0,Provisional,Source status is separate from historical metric acceptance
TERRAIN-027,AuraProj terrain,Sources/Elevation/GEDTM30_Guangzhou_uncertainty_20250611.tif,79c41f7054ecd50e044af7c220000f43bd057b8c78a841b87df90d171ebd6e16,ELEV-003,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,CC BY 4.0,Provisional,Source status is separate from historical metric acceptance
TERRAIN-028,AuraProj terrain,Data/Elevation_Constraints.csv,8ba5839ebcab1fefa8a50b2c0627964dd2ec6b12f013d03f148ef971b2f750aa,ARCH-004,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,published paper transcribed as blocked candidate; original PDF link only,Provisional,Source status is separate from historical metric acceptance
TERRAIN-029,AuraProj terrain,Docs/Vertical_Datum_Register.md,973c595905a63abe0a0f4d3fb3e85798212870c862f8a42f0f25c8f454fbc86e,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-030,AuraProj terrain,Scripts/build_canton_provisional_georef.py,8329084b71779842727574f52b12465d752a0e3d6e8485ff11e31da9550fa3f1,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-031,AuraProj terrain,Scripts/build_canton_provisional_layers.py,fd0326157bf2d61ac2d61cb0f62a6456ce0f103ea9ae54ba3c9060bac49f5952,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-032,AuraProj terrain,Scripts/validate_canton_terrain_days_01_05.py,d2d276858fed0cc4ce400c37a4d491ac52878bedda2e16bbeb500e942ead2ec4,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-033,AuraProj terrain,Scripts/refresh_canton_terrain_manifest.py,fa3a88db3cf9cc05294a1128cf636c6e845d7bd02b356f0d7aa514ed9205e295,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-034,AuraProj terrain,Scripts/requirements-canton-terrain.txt,b1cb54d7660f0e6cb500f17d67fc0dd0fc1f57d2e9566bb2fd67b29b3606ea9b,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-035,AuraProj terrain,QA/Canton_Days_01_05_Execution.md,6b6f27b3b4031ac9df3dfc9c005bae2817ba9a8fda84905f2c0172e77e25fbc6,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-036,AuraProj terrain,GIS/Provisional/Wall.geojson,a114139440b3ec10d0211598d996c5cde46a6ddbefe4836c6914c16b51d0d83a,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-037,AuraProj terrain,GIS/Provisional/Gates.geojson,b40fdc3e982344586d4ab4c557d1638b6691b13565feb7f6e8d12388712f0984,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-038,AuraProj terrain,GIS/Provisional/Roads_Main.geojson,23a825435e83dab2f615c8aee5f57a1859873b0900675f7e5cf692799dcb75ba,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-039,AuraProj terrain,GIS/Provisional/Waterways.geojson,2e3b670b5445c97deb5319409449ef54372bedc81d67248db59b21c364ac4e00,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-040,AuraProj terrain,GIS/Provisional/Landforms.geojson,0831c6a0e9ace14248a98c65c13b3d0fde281b8c2f64aa69156485abb662371a,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-041,AuraProj terrain,GIS/Provisional/Landmarks.geojson,44481e389589d5a33c842048442636114c561f46fe95921ddb5fd7e0ffb5dd33,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Provisional,Source status is separate from historical metric acceptance
TERRAIN-042,AuraProj terrain,Docs/Plans/Canton-Terrain-Implementation/Resources/Day-01-Resources.md,8cebf2a0904b4fc70c4dfb719bb30a713d5337aace4cbcbe0ed97538db83c23b,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-043,AuraProj terrain,Docs/Plans/Canton-Terrain-Implementation/Resources/Day-02-Resources.md,93cee6a7f8744a6a503a66943b4c1d4cb4da6c9a5321acab81c96ed225c27b04,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-044,AuraProj terrain,Docs/Plans/Canton-Terrain-Implementation/Resources/Day-03-Resources.md,2d48285cd1a056a282ea0a6b669ecfa23eb98831388de65545bade7d6dba857a,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-045,AuraProj terrain,Docs/Plans/Canton-Terrain-Implementation/Resources/Day-04-Resources.md,2f32736fe24a78fe4a9240c011f1224c8e091b4b088cf3e54de9ad3dd8324987,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-046,AuraProj terrain,Docs/Plans/Canton-Terrain-Implementation/Resources/Day-05-Resources.md,83c629740edf469ceb8f4cfa8136153e48cd51d9e5a5c47630cb103d56e8b8e1,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
